X.RIC,type,primary_id,suffix_id,series_description,first_traded,first_notice,expires,settle_date,expiration_detail,underlying_RIC
CCH0,future_series,CC,H0,COCOA Mar0->ICE COCOA MAR0,1998-03-17,,2010-03-16,2010-03-20,16-MAR-2000->16-MAR-2010,
CCK0,future_series,CC,K0,COCOA May0->ICE COCOA MAY0,1998-05-14,,2010-05-13,2010-05-15,15-MAY-2000->13-MAY-2010,
CCN0,future_series,CC,N0,COCOA Jul0->ICE COCOA JUL0,1998-07-17,,2010-07-15,2010-07-17,14-JUL-2000->15-JUL-2010,
CCU0,future_series,CC,U0,COCOA Sep0->ICE COCOA SEP0,1998-09-16,,2010-09-15,2010-09-18,14-SEP-2000->15-SEP-2010,
CCZ0,future_series,CC,Z0,COCOA Dec0->ICE COCOA DEC0,1998-12-16,,2010-12-15,2010-12-18,13-DEC-2000->15-DEC-2010,
CGBH0,future_series,CGB,H0,10 YR BOND Mar0->CA 10YR BND MAR0,1999-03-23,,2010-03-22,2010-03-27,22-MAR-2000->22-MAR-2010,
CGBM0,future_series,CGB,M0,10 YR BOND Jun0->CA 10YR BND JUN0,1999-08-26,,2010-06-21,2010-06-26,21-JUN-2000->21-JUN-2010,
CGBU0,future_series,CGB,U0,10 YR BOND Sep0->CA 10YR BND SEP0,1999-06-22,,2010-09-21,2010-09-25,20-SEP-2000->21-SEP-2010,
CGBZ0,future_series,CGB,Z0,10 YR BOND Dec0->CA 10YR BND DEC0,1999-12-21,,2010-12-24,2010-12-25,19-DEC-2000->15-DEC-2000->22-DEC-2010->20-DEC-2010,
CLF0,future_series,CL,F0,LIGHT CRUDE Jan0->LIGHT CRUDE JAN0,1997-08-21,,2009-12-21,2009-12-26,->21-DEC-1999->20-DEC-1999->21-DEC-2009->22-DEC-2009->21-DEC-2009,
CLG0,future_series,CL,G0,LIGHT CRUDE Feb0->LIGHT CRUDE FEB0,1997-08-21,,2010-01-20,2010-01-23,20-JAN-2000->20-JAN-2010,
CLH0,future_series,CL,H0,LIGHT CRUDE Mar0->LIGHT CRUDE MAR0,1997-08-21,,2010-02-22,2010-02-27,22-FEB-2000->22-FEB-2010,
CLJ0,future_series,CL,J0,LIGHT CRUDE Apr0->LIGHT CRUDE APR0,1997-11-21,,2010-02-22,2010-03-27,21-MAR-2000->22-MAR-2010,
CLK0,future_series,CL,K0,LIGHT CRUDE May0->LIGHT CRUDE MAY0,1997-11-21,,2010-04-20,2010-04-24,19-APR-2000->20-APR-2010,
CLM0,future_series,CL,M0,LIGHT CRUDE Jun0->LIGHT CRUDE JUN0,1997-05-21,,2010-05-20,2010-05-22,22-MAY-2000->20-MAY-2010,
CLN0,future_series,CL,N0,LIGHT CRUDE Jul0->LIGHT CRUDE JUL0,1998-02-21,,2010-06-22,2010-06-26,20-JUN-2000->22-JUN-2010,
CLQ0,future_series,CL,Q0,LIGHT CRUDE Aug0->LIGHT CRUDE AUG0,1998-02-21,,2010-07-20,2010-07-24,20-JUL-2000->20-JUL-2010,
CLU0,future_series,CL,U0,LIGHT CRUDE Sep0->LIGHT CRUDE SEP0,1998-02-21,,2010-08-20,2010-08-21,22-AUG-2000->20-AUG-2010,
CLV0,future_series,CL,V0,LIGHT CRUDE Oct0->LIGHT CRUDE OCT0,1998-05-20,,2010-09-21,2010-09-25,20-SEP-2000->21-SEP-2010,
CLX0,future_series,CL,X0,LIGHT CRUDE Nov0->LIGHT CRUDE NOV0,1998-05-20,,2010-10-20,2010-10-23,20-OCT-2000->20-OCT-2010,
CLZ0,future_series,CL,Z0,LIGHT CRUDE Dec0->LIGHT CRUDE DEC0,1996-01-02,,2010-11-19,2010-11-20,->19-NOV-2010->22-NOV-2010->19-NOV-2010->22-NOV-2010->19-NOV-2010,
CTH0,future_series,CT,H0,COTTON NO 2 Mar0->CE91 MR10->ICE COT 2 MAR0,1998-03-10,,2010-02-09,2010-03-13,09-MAR-2000->09-MAR-2010,
CTK0,future_series,CT,K0,COTTON NO 2 May0->ICE COT 2 MAY0,1998-05-07,,2010-05-06,2010-05-08,08-MAY-2000->06-MAY-2010,
CTN0,future_series,CT,N0,COTTON NO 2 Jul0->ICE COT 2 JUL0,1998-07-10,,2010-07-08,2010-07-10,07-JUL-2000->08-JUL-2010,
CTV0,future_series,CT,V0,COTTON NO 2 Oct0->ICE COT 2 OCT0,1998-08-08,,2010-10-07,2010-10-09,09-OCT-2000->07-OCT-2010,
CTZ0,future_series,CT,Z0,COTTON NO 2 Dec0->ICE COT 2 DEC0,1998-09-10,,2010-12-08,2010-12-11,06-DEC-2000->08-DEC-2010,
DMH0,future_series,DM,H0,DEUTSCHE MK Mar0->MIDC E-MINI MAR0,1998-09-15,,2010-03-19,2010-03-28,13-MAR-2000->19-MAR-2010,.IDX
DMM0,future_series,DM,M0,DEUTSCHE MK Jun0->MIDC E-MINI JUN0,1999-11-29,,2010-06-18,2010-06-19,19-JUN-2000->18-JUN-2010,.IDX
DMU0,future_series,DM,U0,DEUTSCHE MK Sep0->MIDC E-MINI SEP0,1999-12-14,,2010-09-17,2010-09-18,18-SEP-2000->17-SEP-2010,.IDX
DMZ0,future_series,DM,Z0,DEUTSCHE MK Dec0->MIDC E-MINI DEC0,2000-03-14,,2010-12-17,2010-12-18,18-DEC-2000->17-DEC-2010,.IDX
DXH0,future_series,DX,H0,FINEX INDEX Mar0->ICE DOLIDX MAR0,1998-12-17,,2010-03-15,2010-03-20,15-MAR-2000->15-MAR-2010,.DXY
DXM0,future_series,DX,M0,FINEX INDEX Jun0->ICE DOLIDX JUN0,1999-03-18,,2010-06-14,2010-06-19,21-JUN-2000->14-JUN-2010,.DXY
DXU0,future_series,DX,U0,FINEX INDEX Sep0->ICE DOLIDX SEP0,1999-06-17,,2010-09-13,2010-09-18,20-SEP-2000->13-SEP-2010,.DXY
DXZ0,future_series,DX,Z0,FINEX INDEX Dec0->ICE DOLIDX DEC0,1999-09-16,,2010-12-13,2010-12-18,20-DEC-2000->13-DEC-2010,.DXY
EDF0,future_series,ED,F0,3-MTH EURO$ Jan0->3-MTH EURO$ JAN0,1999-07-19,,2010-01-18,2010-01-23,13-JAN-2000->17-JAN-2000->15-JAN-2010->18-JAN-2010,USD3MFSR=
EDG0,future_series,ED,G0,3-MTH EURO$ Feb0->3-MTH EURO$ FEB0,1999-08-14,,2010-02-15,2010-02-20,14-FEB-2000->15-FEB-2010,USD3MFSR=
EDH0,future_series,ED,H0,3-MTH EURO$ Mar0->3-MTH EURO$ MAR0->3M EURO$ MAR0,1996-01-02,,2011-06-16,2011-06-16,13-MAR-2000->14-MAR-2010->16-MAR-2010->15-MAR-2010->16-MAR-2020,LIUSD3MD=->USD3MFSR=
EDJ0,future_series,ED,J0,3-MTH EURO$ Apr0->3-MTH EURO$ APR0,1999-10-16,,2010-04-19,2010-05-08,17-APR-2000->19-APR-2010,USD3MFSR=
EDK0,future_series,ED,K0,3-MTH EURO$ May0->3-MTH EURO$ MAY0,1999-11-13,,2010-05-17,2010-05-22,15-MAY-2000->17-MAY-2010,USD3MFSR=
EDM0,future_series,ED,M0,3-MTH EURO$ Jun0->3-MTH EURO$ JUN0->3M EURO$ JUN0,1996-01-02,,2011-06-15,2011-06-15,->12-JUN-2000->19-JUN-2000->15-JUN-2010->14-JUN-2010->15-JUN-2020,LIUSD3MD=->USD3MFSR=
EDN0,future_series,ED,N0,3-MTH EURO$ Jul0->3-MTH EURO$ JUL0->3M EURO$ JUL0,2000-01-18,,2010-07-19,2010-07-24,17-JUL-2000->19-JUL-2010,USD3MFSR=
EDQ0,future_series,ED,Q0,3-MTH EURO$ Aug0->3-MTH EURO$ AUG0->3M EURO$ AUG0,2000-02-12,,2010-08-16,2010-08-21,14-AUG-2000->16-AUG-2010,USD3MFSR=
EDU0,future_series,ED,U0,3-MTH EURO$ Sep0->3-MTH EURO$ SEP0->3M EURO$ SEP0,1996-01-02,,2011-09-14,2011-09-14,18-SEP-2000->14-SEP-2010->13-SEP-2010->14-SEP-2020,LIUSD3MD=->USD3MFSR=
EDV0,future_series,ED,V0,3-MTH EURO$ Oct0->3-MTH EURO$ OCT0->3M EURO$ OCT0,2000-04-15,,2010-10-18,2010-10-23,16-OCT-2000->18-OCT-2010,USD3MFSR=
EDX0,future_series,ED,X0,3-MTH EURO$ Nov0->3-MTH EURO$ NOV0->3M EURO$ NOV0,2000-05-13,,2010-11-19,2010-11-20,13-NOV-2000->15-NOV-2010,USD3MFSR=
EDZ0,future_series,ED,Z0,3-MTH EURO$ Dec0->3-MTH EURO$ DEC0->3M EURO$ DEC0,1996-01-01,,2011-12-14,2011-12-14,18-DEC-2000->14-DEC-2010->13-DEC-2010->14-DEC-2020,LIUSD3MD=->USD3MFSR=
EMXH0,future_series,EMX,H0,EMINI EMI MAR0,2009-09-18,,2010-03-19,2010-03-28,19-MAR-2010,.EMS
EMXM0,future_series,EMX,M0,EMINI EMI JUN0,2009-12-19,,2010-06-18,2010-06-19,18-JUN-2010,.EMS
EMXU0,future_series,EMX,U0,EMINI EMI SEP0,2010-02-08,,2010-09-17,2010-09-18,17-SEP-2010,.EMS
EMXZ0,future_series,EMX,Z0,EMINI EMI DEC0,2010-02-08,,2010-12-17,2010-12-18,17-DEC-2010,.EMS
ESH0,future_series,ES,H0,E-MINI S&P Mar0->E-MINI S&P MAR0,1999-09-17,,2010-03-19,2010-03-28,17-MAR-2000->19-MAR-2010->18-MAR-2010->19-MAR-2010,.SPX->.INX->.SPX->.INX
ESM0,future_series,ES,M0,E-MINI S&P Jun0->E-MINI S&P JUN0,1999-12-17,,2010-06-18,2010-06-19,16-JUN-2000->18-JUN-2010,.SPX->.INX
ESU0,future_series,ES,U0,E-MINI S&P Sep0->E-MINI S&P SEP0->EMINI S&P SEP0,2000-03-18,,2010-09-17,2010-09-18,15-SEP-2000->17-SEP-2010,.SPX->.INX
ESZ0,future_series,ES,Z0,E-MINI S&P Dec0->E-MINI S&P DEC0->EMINI S&P DEC0,2000-06-16,,2010-12-17,2010-12-18,15-DEC-2000->17-DEC-2010,.INX
FBTPH0,future_series,FBTP,H0,EURO-BTP MAR0->BTP 6% MAR0,2009-09-01,,2010-03-08,2010-03-13,08-MAR-2010,
FBTPM0,future_series,FBTP,M0,BTP 6% JUN0,2009-09-08,,2010-06-08,2010-06-12,08-JUN-2010,
FBTPU0,future_series,FBTP,U0,BTP 6% SEP0,2009-12-08,,2010-09-08,2010-09-18,08-SEP-2010,
FBTPZ0,future_series,FBTP,Z0,BTP 6% DEC0,2010-03-08,,2010-12-08,2010-12-11,08-DEC-2010,
FCF0,future_series,FC,F0,FDR CATTLE Jan0->FDR CATTLE JAN0,1999-01-29,,2010-01-28,2010-01-30,27-JAN-2000->28-JAN-2010,
FCH0,future_series,FC,H0,FDR CATTLE Mar0->FDR CATTLE MAR0,1999-03-26,,2010-03-25,2010-03-28,30-MAR-2000->25-MAR-2010,
FCJ0,future_series,FC,J0,FDR CATTLE Apr0->FDR CATTLE APR0,1999-04-30,,2010-04-29,2010-05-08,27-APR-2000->20-APR-2000->29-APR-2010,
FCK0,future_series,FC,K0,FDR CATTLE May0->FDR CATTLE MAY0,1999-05-28,,2010-05-27,2010-05-29,25-MAY-2000->27-MAY-2010,
FCQ0,future_series,FC,Q0,FDR CATTLE Aug0->FDR CATTLE AUG0,1999-08-27,,2010-08-26,2010-08-28,31-AUG-2000->26-AUG-2010,
FCU0,future_series,FC,U0,FDR CATTLE Sep0->FDR CATTLE SEP0,1999-10-01,,2010-09-30,2010-10-02,28-SEP-2000->30-SEP-2010,
FCV0,future_series,FC,V0,FDR CATTLE Oct0->FDR CATTLE OCT0,1999-10-29,,2010-10-28,2010-10-30,26-OCT-2000->28-OCT-2010,
FCX0,future_series,FC,X0,FDR CATTLE Nov0->FDR CATTLE NOV0,1999-11-19,,2010-11-18,2010-11-20,16-NOV-2000->18-NOV-2010,
FCEF0,future_series,FCE,F0,CAC 40 JAN0->CAC 40JAN0,1999-11-02,,2010-01-15,2010-01-16,31-JAN-2000->15-JAN-2010,.FCHI
FCEG0,future_series,FCE,G0,CAC 40 FEB0->CAC 40FEB0,1999-11-30,,2010-02-19,2010-02-20,29-FEB-2000->19-FEB-2010,.FCHI
FCEH0,future_series,FCE,H0,CAC 40 MAR0->CAC 40MAR0,1998-12-15,,2010-03-19,2010-03-20,31-MAR-2000->19-MAR-2010,.FCHI
FCEJ0,future_series,FCE,J0,CAC 40 APR0->CAC 40APR0,2000-01-31,,2010-04-16,2010-04-17,31-JAN-2000->30-APR-2000->28-APR-2000->16-APR-2010,.FCHI
FCEK0,future_series,FCE,K0,CAC 40 MAY0->CAC 40MAY0,2000-02-29,,2010-05-21,2010-05-22,31-MAY-2000->21-MAY-2010,.FCHI
FCEM0,future_series,FCE,M0,CAC 40 JUN0->CAC 40JUN0,1999-06-30,,2010-06-18,2010-06-19,30-JUN-2000->18-JUN-2010,.FCHI
FCEN0,future_series,FCE,N0,CAC 40 JUL0->CAC 40JUL0,2000-04-28,,2010-07-16,2010-07-17,31-JUL-2000->16-JUL-2010,.FCHI
FCEQ0,future_series,FCE,Q0,CAC 40 AUG0->CAC 40AUG0,2000-05-31,,2010-08-20,2010-08-21,31-AUG-2000->20-AUG-2010,.FCHI
FCEU0,future_series,FCE,U0,CAC 40 SEP0->CAC 40SEP0,1998-12-15,,2010-09-17,2010-09-18,29-SEP-2000->17-SEP-2010,.FCHI
FCEV0,future_series,FCE,V0,CAC 40 OCT0->CAC 40OCT0,2000-07-31,,2010-10-15,2010-10-16,31-OCT-2000->15-OCT-2010,.FCHI
FCEX0,future_series,FCE,X0,CAC 40 NOV0->CAC 40NOV0,2000-08-31,,2010-11-19,2010-12-12,30-NOV-2000->19-NOV-2010,.FCHI
FCEZ0,future_series,FCE,Z0,CAC 40 DEC0->CAC 40DEC0,2000-01-03,,2010-12-17,2010-12-18,29-DEC-2000->17-DEC-2010,.FCHI
FDXH0,future_series,FDX,H0,DAX INDEX MAR0,1999-06-18,,2010-03-19,2010-03-20,17-MAR-2000->19-MAR-2010,.GDAXI
FDXM0,future_series,FDX,M0,DAX INDEX JUN0,1999-09-17,,2010-06-18,2010-06-19,16-JUN-2000->18-JUN-2010,.GDAXI
FDXU0,future_series,FDX,U0,DAX INDEX SEP0,1999-12-17,,2010-09-17,2010-09-18,15-SEP-2000->17-SEP-2010,.GDAXI
FDXZ0,future_series,FDX,Z0,DAX INDEX DEC0,2000-03-16,,2010-12-17,2010-12-19,15-DEC-2000->17-DEC-2010,.GDAXI
FFIH0,future_series,FFI,H0,FTSE INDEX MAR0,1999-06-18,,2010-03-19,2010-03-20,17-MAR-2000->19-MAR-2010,.FTSE
FFIM0,future_series,FFI,M0,FTSE INDEX JUN0,1999-09-20,,2010-06-18,2010-06-19,16-JUN-2000->18-JUN-2010,.FTSE
FFIU0,future_series,FFI,U0,FTSE INDEX SEP0->FTSE IDX SEP0,1999-12-17,,2010-09-17,2010-09-18,15-SEP-2000->17-SEP-2010,.FTSE
FFIZ0,future_series,FFI,Z0,FTSE INDEX DEC0->FTSE IDX DEC0,2000-03-19,,2010-12-17,2010-12-19,15-DEC-2000->17-DEC-2010,.FTSE
FGBLH0,future_series,FGBL,H0,EURO BUND MAR0->BUND FUT 6% MAR0,1999-06-08,,2010-03-08,2010-03-13,08-MAR-2000->08-MAR-2010,
FGBLM0,future_series,FGBL,M0,EURO BUND JUN0->BUND FUT 6% JUN0,1999-09-08,,2010-06-08,2010-06-12,08-JUN-2000->08-JUN-2010,
FGBLU0,future_series,FGBL,U0,EURO BUND SEP0->BUND FUT 6% SEP0,1999-12-08,,2010-09-08,2010-09-18,07-SEP-2000->08-SEP-2010,
FGBLZ0,future_series,FGBL,Z0,EURO BUND DEC0->BUND FUT 6% DEC0,2000-03-08,,2010-12-08,2010-12-24,07-DEC-2000->08-DEC-2010,
FGBMH0,future_series,FGBM,H0,EURO BOBL MAR0->BOBL FUT 6% MAR0,1999-06-08,,2010-03-08,2010-03-13,08-MAR-2000->08-MAR-2010,
FGBMM0,future_series,FGBM,M0,EURO BOBL JUN0->BOBL FUT 6% JUN0,1999-09-08,,2010-06-08,2010-06-12,08-JUN-2000->08-JUN-2010,
FGBMU0,future_series,FGBM,U0,EURO BOBL SEP0->BOBL FUT 6% SEP0,1999-12-08,,2010-09-08,2010-09-18,07-SEP-2000->08-SEP-2010,
FGBMZ0,future_series,FGBM,Z0,EURO BOBL DEC0->BOBL FUT 6% DEC0,2000-03-08,,2010-12-08,2010-12-11,07-DEC-2000->08-DEC-2010,
FGBSH0,future_series,FGBS,H0,EURO SCHATZ MAR0->SCHATZ 6% MAR0,1999-06-08,,2010-03-08,2010-03-13,08-MAR-2000->08-MAR-2010,
FGBSM0,future_series,FGBS,M0,EURO SCHATZ JUN0->SCHATZ 6% JUN0,1999-09-08,,2010-06-08,2010-06-12,08-JUN-2000->08-JUN-2010,
FGBSU0,future_series,FGBS,U0,EURO SCHATZ SEP0->SCHATZ 6% SEP00->SCHATZ 6% SEP0,1999-12-08,,2010-09-08,2010-09-18,07-SEP-2000->08-SEP-2010,
FGBSZ0,future_series,FGBS,Z0,EURO SCHATZ DEC0->SCHATZ 6% DEC00->SCHATZ 6% DEC0,2000-03-08,,2010-12-08,2010-12-11,07-DEC-2000->08-DEC-2010,
FGBXH0,future_series,FGBX,H0,EUR BUXL 4% MAR0,2009-06-08,,2010-03-08,2010-03-13,08-MAR-2010,
FGBXM0,future_series,FGBX,M0,EUR BUXL 4% JUN0,2009-09-08,,2010-06-08,2010-06-12,08-JUN-2010,
FGBXU0,future_series,FGBX,U0,EUR BUXL 4% SEP0,2009-12-08,,2010-09-08,2010-09-18,08-SEP-2010,
FGBXZ0,future_series,FGBX,Z0,EUR BUXL 4% DEC0,2010-03-08,,2010-12-08,2010-12-11,08-DEC-2010,
FLGH0,future_series,FLG,H0,LONG GILT MAR0,1999-06-28,,2010-04-29,2010-04-03,29-MAR-2000->29-MAR-2010,
FLGM0,future_series,FLG,M0,LONG GILT JUN0,1999-09-28,,2010-06-28,2010-07-03,28-JUN-2000->28-JUN-2010,
FLGU0,future_series,FLG,U0,LONG GILT SEP0,1999-12-24,,2010-09-28,2010-10-02,27-SEP-2000->28-SEP-2010,
FLGZ0,future_series,FLG,Z0,LONG GILT DEC0,2000-03-29,,2010-12-29,2011-01-01,27-DEC-2000->29-DEC-2010,
GH0,future_series,G,H0,SHORT GILT MAR0,2009-11-21,,2010-03-29,2010-04-03,29-MAR-2010,
GM0,future_series,G,M0,SHORT GILT JUN0,2009-11-21,,2010-06-28,2010-07-03,28-JUN-2010,
GU0,future_series,G,U0,SHORT GILT SEP0->SHRT GILT SEP0,2009-11-21,,2010-09-28,2010-10-02,28-SEP-2010,
GZ0,future_series,G,Z0,SHORT GILT DEC0->SHRT GILT DEC0,2010-03-30,,2010-12-29,2011-01-01,29-DEC-2010,
GCF0,future_series,GC,F0,100 OZ GOLD Jan0->100 OZ GOLD JAN0,1999-10-28,,2010-01-27,2010-01-30,27-JAN-2000->27-JAN-2010,
GCG0,future_series,GC,G0,100 OZ GOLD Feb0->100 OZ GOLD FEB0,1998-03-28,,2010-02-24,2010-02-27,24-FEB-2000->25-FEB-2000->24-FEB-2010,
GCH0,future_series,GC,H0,100 OZ GOLD Mar0->100 OZ GOLD MAR0,1999-12-29,,2010-03-29,2010-04-03,29-MAR-2000->29-MAR-2010,
GCJ0,future_series,GC,J0,100 OZ GOLD Apr0->100 OZ GOLD APR0,1998-05-28,,2010-04-28,2010-05-01,26-APR-2000->28-APR-2010,
GCK0,future_series,GC,K0,100 OZ GOLD May0->100 OZ GOLD MAY0,2000-02-26,,2010-05-26,2010-05-29,29-MAY-2000->26-MAY-2010,
GCM0,future_series,GC,M0,100 OZ GOLD Jun0->100 OZ GOLD JUN0,1996-01-03,,2010-06-28,2010-07-03,28-JUN-2000->28-JUN-2010,
GCN0,future_series,GC,N0,100 OZ GOLD Jul0->100 OZ GOLD JUL0,2000-04-27,,2010-07-28,2010-07-31,27-JUL-2000->28-JUL-2010,
GCQ0,future_series,GC,Q0,100 OZ GOLD Aug0->100 OZ GOLD AUG0,1998-09-29,,2010-08-27,2010-08-28,29-AUG-2000->27-AUG-2010,
GCU0,future_series,GC,U0,100 OZ GOLD Sep0->100 OZ GOLD SEP0,2000-06-29,,2010-09-28,2010-10-02,27-SEP-2000->28-SEP-2010,
GCV0,future_series,GC,V0,100 OZ GOLD Oct0->100 OZ GOLD OCT0,1998-11-25,,2010-10-27,2010-10-30,27-OCT-2000->27-OCT-2010,
GCX0,future_series,GC,X0,100 OZ GOLD Nov0->100 OZ GOLD NOV0,2000-08-30,,2010-11-26,2010-11-27,28-NOV-2000->26-NOV-2010,
GCZ0,future_series,GC,Z0,100 OZ GOLD Dec0->100 OZ GOLD DEC0,1996-01-02,,2010-12-29,2011-01-01,27-DEC-2000->28-DEC-2010->29-DEC-2010,
GEF0,future_series,GE,F0,3-MTH EURO$ Jan0->3-MTH EURO$ JAN0,1999-07-19,,2010-01-18,2010-01-23,13-JAN-2000->17-JAN-2000->15-JAN-2010->18-JAN-2010,LIUSD3MD=->LIUSD3MD=^I09
GEG0,future_series,GE,G0,3-MTH EURO$ Feb0->3-MTH EURO$ FEB0,1999-08-17,,2010-02-15,2010-02-20,14-FEB-2000->15-FEB-2010,LIUSD3MD=->LIUSD3MD=^I09->USD3MFSR=
GEH0,future_series,GE,H0,3-MTH EURO$ Mar0->3-MTH EURO$ MAR0,1999-07-02,,2011-03-16,2011-03-16,13-MAR-2000->16-MAR-2010->15-MAR-2010->16-MAR-2020,LIUSD3MD=->USD3MFSR=->USD3MD=->USD3MFSR=
GEJ0,future_series,GE,J0,3-MTH EURO$ Apr0->3-MTH EURO$ APR0,1999-10-19,,2010-04-19,2010-05-08,17-APR-2000->19-APR-2010,LIUSD3MD=^I09->USD3MFSR=->USD3MD=
GEK0,future_series,GE,K0,3-MTH EURO$ May0->3-MTH EURO$ MAY0,1999-11-16,,2010-05-17,2010-05-22,15-MAY-2000->17-MAY-2010,LIUSD3MD=^I09->USD3MFSR=->USD3MD=->USD3MFSR=
GEM0,future_series,GE,M0,3-MTH EURO$ Jun0->3-MTH EURO$ JUN0,1999-07-02,,2011-06-15,2011-06-15,19-JUN-2000->15-JUN-2010->14-JUN-2010->15-JUN-2020,LIUSD3MD=->USD3MFSR=->USD3MD=->USD3MFSR=
GEN0,future_series,GE,N0,3-MTH EURO$ Jul0->3-MTH EURO$ JUL0,2000-01-21,,2010-07-19,2010-07-24,17-JUL-2000->19-JUL-2010,LIUSD3MD=^I09->USD3MFSR=->USD3MD=->USD3MFSR=
GEQ0,future_series,GE,Q0,3-MTH EURO$ Aug0->3-MTH EURO$ AUG0,2000-02-15,,2010-08-16,2010-08-21,14-AUG-2000->16-AUG-2010,LIUSD3MD=^I09->USD3MD=->USD3MFSR=
GEU0,future_series,GE,U0,3-MTH EURO$ Sep0->3-MTH EURO$ SEP0,1999-07-02,,2011-09-14,2011-09-14,18-SEP-2000->14-SEP-2010->13-SEP-2010->14-SEP-2020,LIUSD3MD=->USD3MFSR=->USD3MD=->USD3MFSR=
GEV0,future_series,GE,V0,3-MTH EURO$ Oct0->3-MTH EURO$ OCT0,2000-04-18,,2010-10-18,2010-11-13,16-OCT-2000->18-OCT-2010,LIUSD3MD=^I09->USD3MFSR=
GEX0,future_series,GE,X0,3-MTH EURO$ Nov0->3-MTH EURO$ NOV0,2000-05-16,,2010-11-15,2010-11-20,13-NOV-2000->15-NOV-2010,LIUSD3MD=^I09->USD3MFSR=
GEZ0,future_series,GE,Z0,3-MTH EURO$ Dec0->3-MTH EURO$ DEC0,1999-07-02,,2011-12-14,2011-12-14,18-DEC-2000->14-DEC-2010->13-DEC-2010->14-DEC-2020,LIUSD3MD=->USD3MFSR=->USD3MD=->USD3MFSR=
HH0,future_series,H,H0,MED GILT MAR0,2009-11-21,,2010-03-29,2010-04-03,29-MAR-2010,
HM0,future_series,H,M0,MED GILT JUN0,2009-11-21,,2010-06-28,2010-07-03,28-JUN-2010,
HU0,future_series,H,U0,MED GILT SEP0->SEP0->MED GILT SEP0,2009-11-21,,2010-09-28,2010-10-02,28-SEP-2010,
HZ0,future_series,H,Z0,DEC0->MED GILT DEC0,2010-03-30,,2010-12-29,2011-01-01,29-DEC-2010,
HGF0,future_series,HG,F0,HG COPPER Jan0->HG COPPER JAN0,1998-01-29,,2010-01-27,2010-01-30,27-JAN-2000->27-JAN-2010,
